Ticker,Year,Revenue,EBIT,FCF,CapEx,SBC,MktCap_USD,Price
AAPL,2021,3.6582E+11,1.08949E+11,92953000000,11085000000,7906000000,,
AAPL,2022,3.9433E+11,1.19437E+11,1.11443E+11,10708000000,9038000000,,
AAPL,2023,3.8329E+11,1.14301E+11,99584000000,10959000000,10833000000,,
AAPL,2024,3.9104E+11,1.23216E+11,1.08807E+11,9447000000,11688000000,,
AAPL,2025,4.1616E+11,1.3305E+11,98767000000,12715000000,12863000000,4.00E+12,
AMD,2021,16430000000,3648000000,3220000000,301000000,379000000,,
AMD,2022,23600000000,1264000000,3115000000,450000000,1081000000,,
AMD,2023,22680000000,401000000,1121000000,546000000,1384000000,,
AMD,2024,25790000000,1900000000,2405000000,636000000,1407000000,,
AMD,2025,32020000000,3030000000,5450000000,960000000,3656000000,3.50E+11,
HOOD,2021,1815143000,-3684432000,-947955000,63182000,1570386000,,
HOOD,2022,1358000000,-1027000000,-880000000,28000000,654000000,,
HOOD,2023,1865000000,-533000000,520000000,21000000,871000000,,
HOOD,2024,2951000000,1064000000,-2500000000,50000000,304000000,,
HOOD,2025,4230000000,6.43E+11,-4360000000,56000000,757000000,1.10E+11,
LITE,2021,1740000000,45800000,653900000,84800000,92900000,,
LITE,2022,1710000000,303300000,368100000,91200000,103100000,,
LITE,2023,1770000000,-115700000,51300000,128500000,148400000,,
LITE,2024,1360000000,-434000000,-108300000,133000000,128800000,,
LITE,2025,1650000000,-180100000,-104700000,231000000,177200000,22420000000,
MO,2021,21110000000,11560000000,8236000000,169000000,0,,
MO,2022,20690000000,11919000000,8051000000,205000000,0,,
MO,2023,20500000000,11547000000,9091000000,196000000,0,,
MO,2024,20440000000,11241000000,8611000000,142000000,0,,
MO,2025,20170000000,12010000000,9190000000,171000000,0,98390000000,
MSFT,2021,1.6809E+11,69916000000,56118000000,20622000000,6118000000,,
MSFT,2022,1.9827E+11,83383000000,65149000000,23886000000,7502000000,,
MSFT,2023,2.1191E+11,88523000000,59475000000,28107000000,9611000000,,
MSFT,2024,2.4512E+11,1.09433E+11,74071000000,44477000000,10734000000,,
MSFT,2025,2.9381E+11,1.28528E+11,71611000000,64551000000,11974000000,3.60E+12,
MU,2021,27700000000,6283000000,2438000000,10030000000,378000000,,
MU,2022,30760000000,9702000000,3114000000,12067000000,514000000,,
MU,2023,15540000000,-5745000000,-6117000000,7676000000,596000000,,
MU,2024,25110000000,1304000000,121000000,8386000000,833000000,,
MU,2025,37380000000,9770000000,1668000000,15857000000,972000000,2.6166E+11,
NVDA,2021,26910000000,4532000000,8130000000,976000000,1397000000,,
NVDA,2022,26914000000,10041000000,3810000000,1830000000,2004000000,,
NVDA,2023,26974000000,4224000000,27020000000,1070000000,2709000000,,
NVDA,2024,60922000000,32972000000,60850000000,3240000000,3549000000,,
NVDA,2025,1.30497E+11,81453000000,77320000000,5830000000,4737000000,4.15E+12,
PLTR,2021,1541889000,-411046000,321224000,12627000,778215000,,
PLTR,2022,1905871000,-161201000,183710000,40027000,564798000,,
PLTR,2023,2225012000,119966000,697069000,15114000,475903000,,
PLTR,2024,2865507000,310403000,1141231000,12634000,691638000,,
PLTR,2025,3900000000,850000000,1790000000,23000000,770000000,4.47E+11,
